location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area,latitude,longitude
palanpur,2,Super Area,1225,Resale,Ready to Move,1.0,5.0,Unfurnished,North - West,2449.0,0.3,1225,21.2184934,72.7777979
palanpur,1,Carpet Area,700,Resale,Ready to Move,9.0,12.0,Unfurnished,North - West,7714.285714285715,0.54,770,21.2184934,72.7777979
palanpur,2,Super Area,1150,Resale,Ready to Move,1.0,6.0,Furnished,North - West,4783.0,0.55,1150,21.2184934,72.7777979
palanpur,2,Super Area,862,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3191.0,0.28,862,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,North - West,3455.0,0.38,1100,21.2184934,72.7777979
palanpur,2,Super Area,1000,Resale,Ready to Move,1.0,5.0,Furnished,North - West,4000.0,0.4,1000,21.2184934,72.7777979
palanpur,2,Super Area,1025,Resale,Ready to Move,2.0,5.0,Semi-Furnished,North - West,2537.0,0.26,1025,21.2184934,72.7777979
palanpur,1,Super Area,475,Resale,Ready to Move,1.0,5.0,Semi-Furnished,North - West,2632.0,0.12,475,21.2184934,72.7777979
palanpur,2,Carpet Area,600,Resale,Ready to Move,8.0,12.0,Semi-Furnished,South - East,3611.0,0.42,660,21.2184934,72.7777979
palanpur,1,Carpet Area,750,Resale,Ready to Move,2.0,4.0,Unfurnished,North - West,2666.6666666666665,0.2,825,21.2184934,72.7777979
palanpur,1,Carpet Area,410,Resale,Ready to Move,3.0,4.0,Furnished,North - West,2857.0,0.2,451,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,North,3750.0,0.45,1200,21.2184934,72.7777979
palanpur,1,Super Area,750,Resale,Ready to Move,0.0,3.0,Semi-Furnished,North - West,2933.0,0.22,750,21.2184934,72.7777979
palanpur,2,Super Area,950,Resale,Ready to Move,1.0,5.0,Semi-Furnished,North - West,2947.0,0.28,950,21.2184934,72.7777979
palanpur,2,Super Area,1120,Resale,Ready to Move,5.0,13.0,Furnished,North - West,4018.0,0.45,1120,21.2184934,72.7777979
palanpur,1,Carpet Area,3,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3429.0,0.12,3,21.2184934,72.7777979
palanpur,2,Super Area,648,Resale,Ready to Move,0.0,1.0,Unfurnished,North - West,3086.0,0.2,648,21.2184934,72.7777979
palanpur,2,Super Area,850,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,2588.0,0.22,850,21.2184934,72.7777979
palanpur,2,Carpet Area,1446,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,4006.0,0.4,1591,21.2184934,72.7777979
palanpur,2,Super Area,861,Resale,Ready to Move,4.0,4.0,Unfurnished,East,1220.0,0.1,861,21.2184934,72.7777979
palanpur,2,Carpet Area,734,Resale,Ready to Move,2.0,5.0,Furnished,East,2749.0,0.28,807,21.2184934,72.7777979
palanpur,4,Carpet Area,1650,Resale,Ready to Move,8.0,9.0,Semi-Furnished,East,3102.0,0.38,1815,21.2184934,72.7777979
palanpur,1,Carpet Area,440,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3420.0,0.25,484,21.2184934,72.7777979
palanpur,3,Carpet Area,1110,Resale,Ready to Move,7.0,8.0,Unfurnished,East,4954.954954954955,0.55,1221,21.2184934,72.7777979
palanpur,2,Super Area,1092,New Property,Under Construction,14.0,14.0,Unfurnished,North - West,3200.0,0.35,1092,21.2184934,72.7777979
palanpur,2,Carpet Area,945,Resale,Ready to Move,4.0,4.0,Unfurnished,South,2787.0,0.34,1040,21.2184934,72.7777979
palanpur,1,Carpet Area,500,Resale,Ready to Move,3.0,4.0,Semi-Furnished,North - West,2800.0,0.21,550,21.2184934,72.7777979
palanpur,2,Carpet Area,680,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North,2671.0,0.23,748,21.2184934,72.7777979
palanpur,2,Super Area,1218,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2956.0,0.36,1218,21.2184934,72.7777979
palanpur,2,Carpet Area,500,New Property,Ready to Move,5.0,5.0,Unfurnished,North,2373.0,0.18,550,21.2184934,72.7777979
palanpur,2,Super Area,910,Resale,Ready to Move,4.0,4.0,Unfurnished,North - West,2473.0,0.23,910,21.2184934,72.7777979
palanpur,1,Super Area,570,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3509.0,0.2,570,21.2184934,72.7777979
palanpur,2,Carpet Area,750,New Property,Ready to Move,9.0,14.0,Unfurnished,North - West,3800.0,0.47,825,21.2184934,72.7777979
palanpur,2,Super Area,1000,Resale,Ready to Move,3.0,4.0,Furnished,North - West,4000.0,0.4,1000,21.2184934,72.7777979
palanpur,2,Carpet Area,800,Resale,Ready to Move,8.0,12.0,Furnished,North - West,3911.0,0.42,880,21.2184934,72.7777979
palanpur,2,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3684.0,0.35,770,21.2184934,72.7777979
palanpur,2,Super Area,1083,Resale,Ready to Move,5.0,5.0,Furnished,North - West,3509.0,0.38,1083,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,2.0,3.0,Semi-Furnished,North - West,2500.0,0.3,1200,21.2184934,72.7777979
palanpur,2,Carpet Area,800,Resale,Ready to Move,8.0,8.0,Furnished,North - West,2719.0,0.32,880,21.2184934,72.7777979
palanpur,2,Super Area,800,Resale,Ready to Move,2.0,5.0,Semi-Furnished,North - West,1250.0,0.1,800,21.2184934,72.7777979
palanpur,1,Super Area,600,Resale,Ready to Move,2.0,10.0,Semi-Furnished,North - West,5000.0,0.3,600,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,2.0,5.0,Furnished,North - West,3364.0,0.37,1100,21.2184934,72.7777979
palanpur,2,Super Area,1176,Resale,Ready to Move,8.0,13.0,Unfurnished,North - West,3571.0,0.42,1176,21.2184934,72.7777979
palanpur,2,Super Area,1175,Resale,Ready to Move,4.0,13.0,Semi-Furnished,North - West,2979.0,0.35,1175,21.2184934,72.7777979
palanpur,2,Super Area,1065,Resale,Ready to Move,3.0,5.0,Semi-Furnished,North,2347.0,0.25,1065,21.2184934,72.7777979
palanpur,2,Carpet Area,935,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - West,2994.6524064171126,0.28,1028,21.2184934,72.7777979
palanpur,2,Carpet Area,1246,Resale,Ready to Move,4.0,12.0,Semi-Furnished,North - West,4012.8410914927767,0.5,1371,21.2184934,72.7777979
palanpur,2,Carpet Area,700,Resale,Ready to Move,11.0,14.0,Semi-Furnished,East,4437.0,0.56,770,21.2184934,72.7777979
palanpur,2,Carpet Area,980,Resale,Ready to Move,1.0,12.0,Furnished,East,3281.0,0.42,1078,21.2184934,72.7777979
palanpur,1,Carpet Area,550,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,3571.0,0.25,605,21.2184934,72.7777979
palanpur,1,Carpet Area,575,Resale,Ready to Move,3.0,10.0,Semi-Furnished,East,2667.0,0.2,632,21.2184934,72.7777979
palanpur,2,Super Area,1000,Resale,Ready to Move,3.0,6.0,Unfurnished,North - West,1800.0,0.18,1000,21.2184934,72.7777979
palanpur,1,Carpet Area,650,Resale,Ready to Move,2.0,4.0,Unfurnished,North,2769.0,0.18,715,21.2184934,72.7777979
palanpur,2,Carpet Area,1085,Resale,Ready to Move,-2.0,59.0,Unfurnished,North - West,2672.811059907834,0.29,1194,21.2184934,72.7777979
palanpur,1,Carpet Area,695,Resale,Ready to Move,3.0,4.0,Furnished,South - East,3022.0,0.21,765,21.2184934,72.7777979
palanpur,2,Carpet Area,1326,Resale,Ready to Move,3.0,9.0,Semi-Furnished,East,3333.0,0.5,1459,21.2184934,72.7777979
palanpur,1,Super Area,671,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,2683.0,0.18,671,21.2184934,72.7777979
palanpur,2,Super Area,1020,Resale,Ready to Move,2.0,4.0,Unfurnished,East,3285.0,0.34,1020,21.2184934,72.7777979
palanpur,1,Carpet Area,431,Resale,Ready to Move,1.0,13.0,Semi-Furnished,North - West,4640.371229698376,0.2,474,21.2184934,72.7777979
palanpur,2,Carpet Area,650,Resale,Ready to Move,4.0,8.0,Unfurnished,North,2624.0,0.27,715,21.2184934,72.7777979
palanpur,2,Super Area,700,Resale,Ready to Move,0.0,1.0,Unfurnished,North - West,2714.0,0.19,700,21.2184934,72.7777979
palanpur,1,Carpet Area,36,Resale,Ready to Move,2.0,13.0,Unfurnished,North - East,3889.0,0.18,40,21.2184934,72.7777979
palanpur,1,Carpet Area,450,Resale,Ready to Move,2.0,4.0,Unfurnished,North - West,1061.0,0.07,495,21.2184934,72.7777979
