location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price
palanpur,2.0,Super Area,1311,New Property,Under Construction,,,Unfurnished,,4251.0,0.56
palanpur,3.0,Super Area,1586,New Property,Undefined,,,Unfurnished,,3751.0,0.59
palanpur,2.0,Super Area,1185,New Property,Ready to Move,5.0,14.0,Unfurnished,East,3784.0,0.45
dindoli,2.0,Carpet Area,644,New Property,Under Construction,5.0,10.0,Unfurnished,West,2891.0,0.34
palanpur,2.0,Super Area,1204,New Property,Under Construction,7.0,14.0,Unfurnished,East,3838.0,0.46
palanpur,2.0,Carpet Area,697,New Property,Under Construction,6.0,14.0,Unfurnished,East,4291.0,0.55
pal,2.0,Super Area,1351,New Property,Under Construction,5.0,13.0,Unfurnished,South -West,4251.0,0.57
jahangirpura,2.0,Super Area,1278,Resale,Undefined,2.0,13.0,Unfurnished,East,3861.0,0.49
palanpur,3.0,Carpet Area,900,New Property,Under Construction,3.0,14.0,Unfurnished,East,3450.0,0.56
palanpur,2.0,Super Area,1315,New Property,Under Construction,6.0,13.0,Unfurnished,East,3991.0,0.53
dindoli,2.0,Super Area,1275,Resale,Under Construction,5.0,14.0,Unfurnished,East,2863.0,0.36
NA,2.0,Carpet Area,1650,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3125.0,0.5
palanpur,2.0,Super Area,1150,Resale,Undefined,1.0,7.0,Unfurnished,,3304.0,0.38
althan,2.0,Carpet Area,900,Resale,Ready to Move,1.0,9.0,Semi-Furnished,East,4333.0,0.52
palanpur,2.0,Carpet Area,975,Resale,Under Construction,9.0,13.0,Unfurnished,South -West,3843.0,0.49
dindoli,3.0,Super Area,1511,New Property,Under Construction,5.0,13.0,Unfurnished,North - East,2368.0,0.36
dindoli,1.0,Carpet Area,546,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,2597.0,0.22
jahangirpura,2.0,Super Area,1050,Resale,Ready to Move,8.0,12.0,Unfurnished,East,3714.0,0.39
athwalines,2.0,Super Area,1200,Resale,Ready to Move,4.0,7.0,Unfurnished,East,3750.0,0.45
